#French	Source	Jula1	Note1	Jula2	Note2	Bambara	Note3	Note ID	tags
Séparer de babylone la grande	Yannick	Ko an faranna ka bo babilonɛba la						1527665647810	
Surveillant de district	Yannick	Kobe kɔrɔsigibaga						1527665647811	
Compte tenu du temps imparti	Yannick	Komi wagati daan tigɛra						1527665647812	
Vérifions les choses les plus importantes	Yannick	Koo minw kɔrɔtanin lo ka tɛmɛ tɔɔw kan, aw k'olu faranfasi						1527665647813	
Système de choses	Yannick	Koo sigi cogoya		Diɲɛ				1527665647814	
Encadré	Boyd	Koorilen						25806141398	
Collège central	Yannick	Koow Ɲɛnabɔla Jɛnkulu						1527665647816	
Mer rouge	Yannick	Kɔgɔji wulen						1527665647817	
Tentation	Yannick	Kɔrɔboli						1527665647818	
Assistant ministériel	Boyd	Kɔrɔsigi ciden						-54217186339	
Assistant ministériel	Yannick	Kɔrɔsigi ciden						1527665647820	
Assistant ministériel expérimenté	Yannick	Kɔrɔsigi ciden setigi						1527665647821	
Surveillant itinérant	Yannick	Kɔrɔsigibaga tagamakɛla						1527665647822	
Tour de garde	Boyd	Kɔrɔsili sangaso						3830892769	
En cas d'urgence	Yannick	Kɔrɔtɔkow kosɔn						1527665647824	
Mémorial de la mort de christ	Boyd	Krista ka saya hakilijigi lajɛn						20017511166	
Intronisation du christ	Yannick	Krista sigini masa sigilan kan						1527665647826	
Éternellement	Boyd	Kudayi						-55856535130	
Service à plein temps	Yannick	Kudayi cidenya baara						1527665647828	
Pionnier permanent	Yannick	Kudayi Piyoniye						1527665647829	
Technique oratoire	Yannick	Kumacogo fɛɛrɛ						1527665647830	
Prière de conclusion	Yannick	Kuncɛli delili						1527665647831	
De nouveaux sommets ont été atteints	Yannick	Kunkɔrɔta kura caaman sɔrɔla						1527665647832	
Sacrifice rédempteur	Yannick	Kunmabɔ  saraka						1527665647833	
Rançon	Boyd	Kunmabɔsara						-53018679285	
Sacrifice rédempteur	Boyd	Kunmabɔ  saraka						4895241135	
Communication spéciale	Yannick	Kunnafoni kɛrɛnkɛrɛn						1527665647836	
Communications	Boyd	Kunnafoniw						3656657915	
Trébucher (spirituellement)	Yannick	Kunnatiɲɛ						1527665647838	
Souveraineté	Yannick	Kuntigiya		Sebagaya		Masabaya		1527665647839	
Conducteur à la tour de garde	Yannick	La tour de garde kalan ɲɛminɛbaga						1527665647840	
Organisation	Yannick	Labɛn		Ɔriganisasiyɔn				1527665647841	
Sabbat	Boyd	Lafiɲɛlon						-53018428141	
Réunion	Boyd	Lajɛn						-11085274429	
Lors de la réunion	Yannick	Lajɛn kɛto						1527665647844	
Lieux de culte	Yannick	Lajɛn kɛyɔrɔw						1527665647845	
Assemblée	Yannick	Jamakulu						1527665647846	
Salle d'assemblées	Yannick	Lajɛnba boonw						1527665647847	
Surveillant de l'école	Yannick	Lakoli kɔrɔsibaga						1527665647848	
Ressussiter	Boyd	Lakunun						-55856535126	
Interlocuteur	Boyd	Lamɛnbaga		Lamɛnnikɛla				4896872164	
Compagnon de chambre	Yannick	Lamɔgɔ						1527665647851	
Foi (sans)	Yannick	Lanabaliya						1527665647852	
Foi	Yannick	Lanaya						1527665647853	
Foi solide	Yannick	Lanaya barikaman						1527665647854	
Foi naissante	Yannick	Lanaya kura						1527665647855	
Alliance	Boyd	Tɔnsigi						-201373188	
Terre promise	Yannick	Layidu jamana						1527665647857	
Arche (de l'alliance)	Yannick	Layidu waganden						1527665647858	
Semaine spéciale	Yannick	Lɔgɔkun kɛrɛnkɛrɛnnin						1527665647859	
Jéhovah est humble	Yannick	Majigilenya be Jehova la (Si sentiment, qualité, partie du corps : be … la)						1527665647860	
Chez les personnes intéressées	Yannick	Makodon mɔgɔw fɛ						1527665647861	
Ne doit pas durer plus de	Yannick	Man kan ka mɛɛn ka tɛmɛ … kan						1527665647862	
Codirigeant	Yannick	Marakɛɲɔgɔn						1527665647863	
Royaume	Boyd	Masaya						4894757744	
Salle du royaume	Yannick	Masaya boon				Massaya Soo	Bambara	1527665647865	
Ministère du royaume	Yannick	Masaya cidenyabaara						1527665647866	
Bonne nouvelle du royaume	Yannick	Masaya kibaro duman						1527665647867	
École pour évangélisateurs du royaume	Boyd	Masaya waajulikɛlaw ka lakoli						-15518899097	
Messie	Boyd	Masiya						4894740815	
Repas du seigneur	Yannick	Matigi ka surafana seli						1527665647870	
Attitude mentale	Yannick	Miiriya cogo						1527665647872	
Offre du mois	Yannick	Min be di kalo la						1527665647873	
Qui convienne	Yannick	Min dagalen be						1527665647874	
